id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
198,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25-04-2023 02:00:00,CO,12,44,28,NA
199,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25-04-2023 02:00:00,OZONE,17,69,45,NA
200,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25-04-2023 02:00:00,PM2.5,37,127,55,NA
201,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25-04-2023 02:00:00,PM10,55,133,75,NA
202,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25-04-2023 02:00:00,NO2,67,107,82,NA
203,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25-04-2023 02:00:00,NH3,1,1,1,NA
204,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25-04-2023 02:00:00,SO2,12,18,15,NA
205,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25-04-2023 02:00:00,CO,70,92,84,NA
206,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25-04-2023 02:00:00,OZONE,3,9,4,NA
207,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",25-04-2023 02:00:00,PM2.5,15,120,38,NA
208,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",25-04-2023 02:00:00,PM10,14,186,81,NA
209,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",25-04-2023 02:00:00,NO2,29,36,32,NA
210,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",25-04-2023 02:00:00,NH3,10,11,11,NA
211,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",25-04-2023 02:00:00,SO2,6,27,13,NA
212,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",25-04-2023 02:00:00,CO,43,107,74,NA
