Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate
2021-09-30T00:00:00,400862,Oswego,oswego,13126,NA,National Grid,2019-07-26T00:00:00,5178,Propane,896,1,Home Performance,Mobile,Building Shell,510,16,428
2021-09-30T00:00:00,450786,Queens,Queens,11355,NA,Consolidated Edison,2020-02-25T00:00:00,490,Natural Gas,800,1,Electric Reduction,Single Family,Building Shell,510,2,113
2021-09-30T00:00:00,507860,Warren,Queensbury,12804,National Grid,National Grid,2021-06-10T00:00:00,9307,Natural Gas,"1,716",1,Home Performance,Single Family,Building Shell,0,35,380
2021-09-30T00:00:00,430359,Erie,Angola,14006,National Fuel Gas Distribution,National Grid,2020-02-07T00:00:00,10988,Natural Gas,"1,400",1,Home Performance,Single Family,Heating and Cooling,343,60,478
2021-09-30T00:00:00,442198,Orleans,Kendall,14476,NA,National Grid,2019-12-10T00:00:00,4834,Propane,Report SF less than 800,1,Home Performance,Mobile,Building Shell,368,24,473
2021-09-30T00:00:00,515319,Madison,New Woodstock,13122,NA,National Grid,2021-07-22T00:00:00,7402,Oil,"1,064",1,Home Performance,Mobile,Building Shell,550,22,369
2021-09-30T00:00:00,493355,Albany,Cohoes,12047,National Grid,National Grid,2021-08-17T00:00:00,5449,Natural Gas,990,1,Home Performance,Single Family,Building Shell,510,44,420
2021-09-30T00:00:00,412022,Orange,Middletown,10940,Orange & Rockland,Orange & Rockland,2020-07-14T00:00:00,5956,Natural Gas,864,1,Home Performance,Single Family,Building Shell,410,30,424
2021-09-30T00:00:00,447211,Bronx,The Bronx,10465,NA,Consolidated Edison,2020-07-07T00:00:00,5462,Oil,"1,440",1,Home Performance,Single Family,Building Shell,0,31,608
2021-09-30T00:00:00,454774,Onondaga,Syracuse,13208,National Grid,National Grid,2020-03-18T00:00:00,3803,Natural Gas,"1,444",1,Home Performance,Single Family,Building Shell,0,15,126
